[CONTENT]
1 | count=187
1/any_work_of_art_in_location | count=1
1/create_character | count=3
1/custom_tooltip | count=1
1/has_casus_belli_of_type_on | count=1
1/ordered_cabinet_character/limit/or | count=1
1/ordered_cabinet_character/order_by/if | count=1
1/random_list | count=17
1/random_list/1 | count=109
1/random_list/1/start_weather_system | count=109
1/random_location_in_sub_continent | count=1
1/random_location_in_sub_continent/limit | count=1
1/random_location_in_sub_continent/limit/or | count=1
1/random_location_in_sub_continent/province_definition | count=1
1/random_location_in_sub_continent/province_definition/random_location_in_province_definition | count=1
1/set_variable | count=1
1/start_weather_system | count=4
1/trigger | count=29
1/trigger/any_cabinet_character/or | count=1
1/trigger/any_subject/any_cabinet_character | count=1
1/trigger/capital | count=1
10 | count=33
10/create_character | count=3
10/trigger | count=20
10/trigger/any_neighbor_country | count=1
10/trigger/any_neighbor_country/nor | count=1
10/trigger/or | count=9
100 | count=2
100/custom_tooltip | count=1
100/custom_tooltip/random_country | count=1
100/custom_tooltip/random_country/limit | count=1
100/if | count=2
100/if/limit | count=2
100/if/limit/root | count=2
100/random_neighbor_country | count=1
100/random_neighbor_country/limit | count=1
100_years_war_longevity | count=1
100_years_war_longevity/success | count=1
11 | count=1
12 | count=1
13 | count=1
14 | count=1
15 | count=1
15/custom_tooltip/every_pop/limit | count=1
16 | count=1
17 | count=1
18 | count=1
19 | count=1
2 | count=7
2/custom_tooltip | count=1
2/random_in_global_list/limit/or | count=1
2/set_variable | count=1
20 | count=19
20/create_character | count=1
20/hidden_effect/every_pop/add_pop_size | count=2
20/hidden_effect/every_pop/limit | count=2
20/random_international_organization_member | count=1
20/trigger | count=10
20/trigger/any_international_organization_member | count=5
20/trigger/any_international_organization_member/and | count=2
20/trigger/any_international_organization_member/or | count=1
20/trigger/or | count=1
21 | count=1
22 | count=1
23 | count=1
2305c | count=1
2305c/every_location_in_province | count=1
2305c/every_location_in_province/ordered_pop | count=1
2305c/every_location_in_province/ordered_pop/limit | count=1
2305d | count=1
2305d/culture | count=1
2307c | count=1
2307c/add_adm | count=1
2307d | count=1
